ZCTA5CE10,percentALICE
47708,63.27683616
47710,52.94567712
47711,37.86158631
47712,41.14563477
47713,69.04139434
47714,54.46700885
47715,45.49389396
47720,34.26016487
47725,11.79980113
47523,34.15195702
47601,40.09382894
47610,38.41494195
47613,29.66507177
47619,30.1369863
47630,28.07933194
47637,32.12121212
47531,24.8603352
47537,20.11331445
47550,2.605863192
47577,37.60683761
47579,23.39544513
47588,46.23655914
47611,25.19083969
47615,39.90536278
47634,28.23397075
47635,35.5210643
